COUNTRY_NAME,TOTALCOUNT
Macedonia,99317
Sudan,61624
Uzbekistan,58422
Armenia,123428
Gabon,3209
Botswana,2310
Benin,5038
France,5716791
Italy,2960901
Bosnia and Herzegovina,187553
Somalia,20713
Togo,615
Belize,2664
Israel,657558
Algeria,1190129
Mauritania,13050
Taiwan,1440248
Saudi Arabia,1972329
Ukraine,3463586
Cambodia,409462
Singapore,3527634
Denmark,211111
Ecuador,673191
Panama,309423
Uganda,11109
NULL,984
Mexico,8467937
Spain,2053502
Nepal,370165
Tunisia,382340
Nigeria,187935
Cuba,169
Gibraltar,64
Bulgaria,416934
Tajikistan,19396
Estonia,45385
El Salvador,209393
Trinidad and Tobago,39021
São Tomé and Príncipe,68
United States,25029231
Colombia,2400263
Jamaica,58237
Mongolia,57258
Afghanistan,31973
Malta,12788
Guadeloupe,6564
Barbados,4653
United Kingdom,5107038
Republic of Moldova,180274
Iran,1299509
Haiti,18250
Kenya,162040
Sri Lanka,299176
Madagascar,3051
Croatia,162078
Fiji,10888
Angola,4480
Ivory Coast,96003
Kazakhstan,1637938
Libya,71400
Puerto Rico,17077
Turkmenistan,14792
Mauritius,60403
Rwanda,2737
Curaçao,1495
Brunei,5188
Australia,986265
Vietnam,6962249
Hungary,834612
Belgium,745346
Laos,158799
Slovenia,67520
French Guiana,4512
East Timor,3008
New Caledonia,2173
Maldives,597
Egypt,2550692
South Africa,480762
Bolivia,196239
Qatar,59477
Burundi,312
Canada,13961885
Thailand,8365472
Morocco,965171
Turkey,8320713
Hong Kong,182036
Ghana,55071
Lesotho,645
Djibouti,133
Jersey,64
Germany,5392127
Netherlands,1033961
Réunion,36581
United Arab Emirates,376959
Peru,1083110
Japan,3058727
Finland,225955
Austria,391742
Paraguay,273040
Czech Republic,667213
Guyana,6014
Bahrain,40685
Liberia,1845
Costa Rica,323496
Myanmar [Burma],71765
Sweden,565664
Indonesia,15959367
Pakistan,2606100
Philippines,3538116
Kyrgyzstan,229720
Portugal,491593
Slovak Republic,269023
Iceland,3748
Russia,15176635
Belarus,723651
Bahamas,16365
New Zealand,149495
Republic of the Congo,74
Republic of Korea,3310809
Georgia,263298
Ethiopia,1577
Grenada,143
Brazil,26876628
Yemen,15375
Nicaragua,125419
Palestine,208040
Zimbabwe,3929
Ireland,149870
Tanzania,105772
Honduras,202231
Guatemala,413277
Argentina,4800622
Serbia,419930
Romania,1832600
Kuwait,114698
Bangladesh,889747
Senegal,63363
Cape Verde,1102
Hashemite Kingdom of Jordan,574009
Poland,2366663
Switzerland,275459
Dominican Republic,429491
Namibia,10638
Norway,141714
Martinique,8143
Iraq,3851623
Montenegro,20243
Syria,170675
Republic of Lithuania,183893
Latvia,71424
Uruguay,430303
Venezuela,353696
Congo,1239
Chile,2043761
Greece,416556
Mozambique,30691
Cameroon,30585
Zambia,4179
Niger,4704
Andorra,84
China,34611571
Azerbaijan,471761
Malaysia,2111021
Albania,237554
Mali,4516
India,23331872
Lebanon,502291
Oman,101100
Luxembourg,9086
Bhutan,5355
Guinea,4123
Burkina Faso,2045
Guam,1087
Saint Vincent and the Grenadines,1273
Cyprus,19098
Macao,556
Suriname,6371
French Polynesia,938
Papua New Guinea,513
