COUNTRY_NAME,PLATFORM,TOTALCOUNT
Indonesia,Android,15816787
Jamaica,Android,58237
Dominican Republic,Android,428667
Vietnam,iOS,424040
Sweden,Android,489438
Uruguay,Android,430141
Malaysia,Android,2032113
United Arab Emirates,Android,348101
Republic of Moldova,Android,180274
Malaysia,iOS,78908
Iraq,iOS,38455
Cameroon,Android,30585
Hashemite Kingdom of Jordan,iOS,1858
Mexico,iOS,149839
Finland,Android,224581
Ireland,Android,145978
Laos,iOS,7371
Republic of Lithuania,iOS,913
Gibraltar,Android,64
Kenya,iOS,40
Puerto Rico,iOS,27
Turkey,iOS,253204
Switzerland,Android,250174
Sri Lanka,Android,298983
Georgia,Android,258479
Slovenia,Android,67439
Oman,Android,100490
Serbia,Android,418543
Hungary,Android,828614
Bulgaria,Android,416144
Germany,iOS,388322
Argentina,iOS,8966
Bahrain,Android,39940
Ireland,iOS,3892
Yemen,Android,15375
Egypt,iOS,11059
Armenia,iOS,655
Sri Lanka,iOS,193
Cuba,Android,169
China,iOS,4342729
Canada,Android,13505113
Morocco,Android,963997
Honduras,Android,202080
Macedonia,Android,99244
Panama,Android,309298
Brunei,Android,4925
Mozambique,Android,30691
Belarus,iOS,1739
Czech Republic,iOS,3749
Azerbaijan,iOS,1455
Guam,Android,1087
Republic of the Congo,Android,74
Singapore,Android,3502500
India,Android,23191612
Laos,Android,151428
Latvia,Android,71270
Tajikistan,Android,19396
Bahamas,Android,16365
Uganda,Android,11109
Ghana,iOS,29
Tunisia,iOS,583
Macao,Android,300
Libya,iOS,69
Croatia,Android,161879
Philippines,iOS,181995
Morocco,iOS,1174
Cambodia,iOS,21693
Nigeria,iOS,225
Gabon,Android,3209
Puerto Rico,Android,17050
Zimbabwe,Android,3929
Portugal,iOS,1977
Pakistan,Android,2598387
Belarus,Android,721912
Kuwait,Android,106947
New Zealand,iOS,10445
São Tomé and Príncipe,Android,68
Canada,iOS,456772
Slovak Republic,Android,268641
Paraguay,Android,273040
Hungary,iOS,5998
