COUNTRY_NAME,PLATFORM,GENRE,TOTALCOUNT
Poland,Android,Casual,233911
United States,Android,Action,3961750
Canada,Android,Simulation,4349906
China,iOS,Games,3397360
Germany,Android,Racing,508785
China,Android,Simulation,3955401
Albania,Android,Racing,40141
France,Android,Casual,464002
Sweden,iOS,Games,70961
Sweden,Android,Racing,53396
Nepal,Android,Racing,52698
Argentina,Android,Strategy,52485
Bahrain,Android,Simulation,15225
Finland,Android,Puzzle,23944
Brazil,Android,Action,6977935
Republic of Korea,Android,Education,34683
Canada,Android,Educational,305897
United Arab Emirates,Android,Action,82272
Tunisia,Android,Simulation,109279
Brazil,Android,Adventure,1308884
China,Android,Entertainment,14181
France,Android,Entertainment,42392
Norway,Android,Puzzle,12347
Colombia,Android,Puzzle,136682
Senegal,Android,Simulation,19165
Japan,iOS,Photo & Video,556
United States,Android,Board,135081
New Zealand,Android,Adventure,5870
El Salvador,Android,Simulation,59831
India,Android,Word,131035
Indonesia,iOS,Utilities,541
Lebanon,Android,Sports,15855
Taiwan,Android,Strategy,46118
Chile,Android,Game,6746
Denmark,Android,Sports,5052
Republic of Moldova,Android,Puzzle,5493
Indonesia,Android,Casino,9670
Malaysia,Android,Entertainment,4799
Chile,Android,Music,30016
Portugal,Android,Puzzle,31052
Panama,Android,Adventure,9758
Trinidad and Tobago,Android,Racing,5618
Kazakhstan,Android,Trivia,5558
Austria,Android,Game,763
Costa Rica,Android,Music,1248
Saudi Arabia,iOS,Education,6808
Bolivia,Android,Music,1841
Mali,Android,Action,2170
Republic of Lithuania,Android,Music,1211
Honduras,Android,Sports,10884
Malta,Android,Action,2707
Iraq,Android,Arcade,251823
Nigeria,Android,Racing,21304
Bahrain,Android,Casual,2779
Oman,Android,Casual,5216
Ireland,iOS,Games,3781
Finland,Android,Casual,23897
India,Android,Game,94862
Canada,Android,Trivia,37225
Iraq,Android,Lifestyle,3376
Kazakhstan,Android,Game,5010
Japan,Android,Board,22239
South Africa,Android,Casual,45179
United States,Android,Music & Audio,14250
Vietnam,Android,Entertainment,11754
South Africa,Android,Music,656
Spain,Android,Trivia,3783
Slovenia,Android,Casual,6344
Japan,iOS,Social Networking,10063
Libya,Android,Adventure,1689
Colombia,Android,Tools,1452
Kyrgyzstan,Android,Educational,2131
United States,iOS,Catalogs,136
Slovenia,Android,Educational,467
Kuwait,Android,Sports,2991
Tunisia,Android,Educational,4123
Turkey,Android,Card,13840
Pakistan,Android,Entertainment,3859
Iran,Android,Card,9237
Republic of Lithuania,Android,Educational,5321
India,iOS,Education,750
Mongolia,iOS,Games,2627
Panama,Android,Strategy,966
Austria,iOS,Games,4804
Cameroon,Android,Casual,2772
Myanmar [Burma],Android,Sports,4464
East Timor,Android,Action,1505
Nicaragua,Android,Sports,5306
Peru,Android,Card,1250
Austria,Android,Casino,242
